"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"50Sea (ID 18982)","50Sea10.33411","open","0","30","false","true"
"A.N.Severtsov Institute of Ecology and Evolution RAS  - IEE RAS (ID 21632)","A.N.Severtsov Institute of Ecology and Evolution RAS - IEE RAS10.35885","open","81","103","false","true"
"Aarhus University Library (ID 4226)","Aarhus University Library10.7146","open","24721","3032","true","true"
"Aarhus University Library (ID 4226)","Aarhus University Library10.18291","open","24721","3032","true","true"
"Abant Izzet Baysal Universitesi Ilahiyat Fakultesi Dergisi (ID 19799)","Abant Izzet Baysal Universitesi Ilahiyat Fakultesi Dergisi10.33931","open","0","58","false","true"
"Aboutscience Srl (ID 18642)","Aboutscience Srl10.33393","open","1541","321","true","true"
"ACA Publishing (ID 22968)","ACA Publishing10.36937","open","0","79","false","true"
"Academia de Stiinte Agricole si Silvice 'Gheorghe Ionescu-Sisesti' (ID 28533)","Academia de Stiinte Agricole si Silvice 'Gheorghe Ionescu-Sisesti'10.51258","open","0","24","false","true"
"Academia Europea de Direccion y Economia de la Empresa (ID 20782)","Academia Europea de Direccion y Economia de la Empresa10.35564","open","0","67","false","true"
"Academia Mexicana de Investigacion Turistica, A.C. (ID 27299)","Academia Mexicana de Investigacion Turistica, A.C.10.47557","open","9","64","false","true"
"Academic Association of Management  and Administration - AVADA (ID 19339)","Academic Association of Management and Administration - AVADA10.33605","open","0","16","false","true"
"Academic Conferences International Ltd (ID 20105)","Academic Conferences International Ltd10.34190","open","1","806","false","true"
"Academic Perspective (ID 19462)","Academic Perspective10.33793","open","0","410","false","true"
"Academic Research Centre (ID 17541)","Academic Research Centre10.32476","open","0","15","false","true"
"Academic Research Publishing Group (ID 18113)","Academic Research Publishing Group10.32861","open","0","2077","false","true"
"Academic Research Publishing Group (Publications) (ID 27517)","Academic Research Publishing Group10.32861","open","0","2077","false","true"
"Academic World Research (ID 26714)","Academic World Research10.47176","open","1088","1832","false","true"
"Academician Publishing (ID 23880)","Academician Publishing10.37609","open","441","124","true","true"
"Academician Publishing (ID 23880)","The Bulletin of Legal Medicine10.17986","open","441","124","true","true"
"Academus Publishing (ID 15171)","Academus Publishing10.31519","open","215","172","true","true"
"Academy Journal of Educational Sciences (ID 17040)","Academy Journal of Educational Sciences10.31805","open","5","40","true","true"
"Academy of Economic Sciences of Ukraine (ID 23759)","Academy of Economic Sciences of Ukraine10.37405","open","0","39","false","true"
"Academy of Medical Optics and Optometry (ID 19482)","Academy of Medical Optics and Optometry10.33791","open","0","67","false","true"
"Academy of Medicine, Singapore (ID 26165)","Academy of Medicine, Singapore10.47102","open","0","152","false","true"
"Academy of Science of South Africa (ID 6689)","Academy of Science of South Africa10.17159","open","7926","3391","true","true"
"Academy of Social Enterprise (ID 17911)","Academy of Social Enterprise10.32675","open","39","32","true","true"
"Academy of the FPS of Russia (ID 19123)","Academy of the FPS of Russia10.33463","open","0","31","false","true"
"Academy Of The State Penitentiary Servise (ID 18049)","Academy Of The State Penitentiary Servise10.32755","open","43","216","true","true"
"Acarological Studies, DergiPark (ID 26688)","Acarological Studies, DergiPark10.47121","open","0","9","false","true"
"ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales (ID 7558)","ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales10.18257","open","266","228","false","true"
"Acta Materialia Transylvanica (ID 19784)","Acta Materialia Transylvanica10.33923","open","0","83","false","true"
"Acta Materialia Transylvanica (ID 19784)","Acta Materialia Transylvanica10.33924","open","0","83","false","true"
"Acta Medica Alanya (ID 12012)","Acta Medica Alanya10.30565","open","36","159","true","true"
"Acta Naturae Ltd (ID 17808)","Acta Naturae Ltd10.32607","open","565","169","true","true"
"Acta Paulista de Enfermagem (ID 24620)","Acta Paulista de Enfermagem10.37689","open","0","111","false","true"
"Action For Sustainable Efficacious Development and Awareness (ID 22978)","Action For Sustainable Efficacious Development and Awareness10.36953","open","155","183","false","true"
"Adam Akademi Sosyal Bilimler Dergisi (ID 16830)","Adam Akademi Sosyal Bilimler Dergisi10.31679","open","19","47","true","true"
"Addaiyan International Publishers (ID 21848)","Addaiyan International Publishers10.36099","open","0","98","false","true"
"Adichunchanagiri Institute of Medical Sciences (ID 25558)","Adichunchanagiri Institute of Medical Sciences10.46347","open","81","69","true","true"
"Adiyaman Universitesi Saglik Bilimleri Dergisi (ID 12019)","Adiyaman Universitesi Saglik Bilimleri Dergisi10.30569","open","42","164","true","true"
"Adiyaman University (ID 23258)","Adiyaman University10.37094","open","0","65","false","true"
"Adiyaman University - Mecuma (ID 17770)","Adiyaman University - Mecuma10.32579","open","0","66","false","true"
"Adnan Menderes Universitesi Saglik Bilimleri Fakultesi Dergisi (ID 25416)","Adnan Menderes Universitesi Saglik Bilimleri Fakultesi Dergisi10.46237","open","0","23","false","true"
"Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi (ID 12255)","Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi10.30803","open","122","47","true","true"
"Advanced Computing and Communications Society - ACCS (ID 19819)","Advanced Computing and Communications Society - ACCS10.34048","open","13","45","false","true"
"Advances in Hospitality and Tourism Research (ID 11972)","Advances in Hospitality and Tourism Research10.30519","open","1","43","true","true"
"Advances in the Theory of Nonlinear Analysis and its Application (ID 15935)","Advances in the Theory of Nonlinear Analysis and its Application10.31197","open","8","83","false","true"
"Aegitas Publishing House (ID 27034)","Aegitas Publishing House10.47359","open","0","12","false","true"
"Aerospace Medical Association of Korea (ID 25437)","Aerospace Medical Association of Korea10.46246","open","0","14","false","true"
"Afet ve Risk Dergisi (ID 20730)","Afet ve Risk DergisI10.35341","open","0","41","false","true"
"AFRICAJOURNALS (ID 25359)","AFRICAJOURNALS10.46222","open","0","14","false","true"
"African Field Epidemiology Network (ID 21985)","African Field Epidemiology Network10.37432","open","0","28","false","true"
"Afro Eurasian Studies (ID 19503)","Afro Eurasian Studies10.33722","open","0","16","false","true"
"Afyon Kocatepe Universitesi Fen Ve Muhendislik Bilimleri Dergisi (ID 20907)","Afyon Kocatepe Universitesi Fen Ve Muhendislik Bilimleri Dergisi10.35414","open","316","154","false","true"
"Afyon Kocatepe Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi (ID 19500)","Afyon Kocatepe Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi10.33707","open","87","35","false","true"
"Afyon Kocatepe Universitesi Sosyal Bilimler Dergisi (ID 17953)","Afyon Kocatepe Universitesi Sosyal Bilimler Dergisi10.32709","open","87","208","false","true"
"Agencia De Regulacion y Control Fito y Zoosanitario (ID 21826)","Agencia De Regulacion y Control Fito y Zoosanitario10.36331","open","51","51","true","true"
"Agrarian Science (ID 17863)","Agrarian Science10.32634","open","0","437","false","true"
