"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"&quot;FAN VA TA'LIM&quot; MCHJ (ID 32097)","""FAN VA TA'LIM"" MCHJ10.53885","open","0","83","false","true"
"&quot;M. Nalbandyan State University of Shirak&quot; Foundation (ID 32495)","""M. Nalbandyan State University of Shirak"" Foundation10.54151","open","0","101","false","true"
"19 Mayis Sosyal Bilimler Dergisi (ID 30767)","19 Mayis Sosyal Bilimler Dergisi10.52835","open","0","40","false","true"
"21st Century COE Program (ID 2034)","21st Century COE Program (Toplogical Science and Technology)10.3731","open","40","0","true","false"
"50Sea (ID 18982)","50Sea10.33411","open","28","2","true","true"
"A and V Publications (ID 30507)","A and V Publications 10.52711","open","8918","4374","false","true"
"A. M. Gorky Institute of World Literature of the Russian Academy of Sciences (ID 9747)","A. M. Gorky Institute of World Literature of the Russian Academy of Sciences10.22455","open","794","1095","false","true"
"A. N. Kosygin Russian State University (ID 24787)","A. N. Kosygin Russian State University10.37816","open","0","260","false","true"
"A.Baitursynulу Institute of Linguistics (ID 34361)","A.Baitursynulу Institute of Linguistics10.55491","open","0","95","false","true"
"A.N.Severtsov Institute of Ecology and Evolution RAS  - IEE RAS (ID 21632)","A.N.Severtsov Institute of Ecology and Evolution RAS - IEE RAS10.35885","open","207","203","true","true"
"Abant Izzet Baysal Universitesi Ilahiyat Fakultesi Dergisi (ID 19799)","Abant Izzet Baysal Universitesi Ilahiyat Fakultesi Dergisi10.33931","open","27","62","true","true"
"Abasyn University (ID 18167)","Abasyn University10.34091","open","56","87","true","true"
"ABClima (Brazilian Association of Climatology) (ID 34756)","ABClima (Brazilian Association of Climatology)10.55761","open","26","26","false","true"
"Aboutscience Srl (ID 18642)","Aboutscience Srl10.33393","open","2953","202","true","true"
"Academia de Estudios Educativos y Sociales - ACEES (ID 32110)","Academia de Estudios Educativos y Sociales - ACEES10.53940","open","0","28","false","true"
"Academia de Stiinte Agricole si Silvice 'Gheorghe Ionescu-Sisesti' (ID 28533)","Academia de Stiinte Agricole si Silvice 'Gheorghe Ionescu-Sisesti'10.51258","open","0","50","false","true"
"Academia Europea de Direccion y Economia de la Empresa (ID 20782)","Academia Europea de Direccion y Economia de la Empresa10.35564","open","42","57","true","true"
"Academia Mexicana de Investigacion Turistica, A.C. (ID 27299)","Academia Mexicana de Investigacion Turistica, A.C.10.47557","open","45","46","true","true"
"Academia Romana Filiala Cluj (ID 19882)","Academia Romana Filiala Cluj10.33993","open","15","222","false","true"
"Academic Association of Management  and Administration - AVADA (ID 19339)","Academic Association of Management and Administration - AVADA10.33605","open","16","0","true","false"
"Academic Conferences International Ltd (ID 20105)","Academic Conferences International Ltd10.34190","open","564","628","true","false"
"Academic Inspired Network (ID 22595)","Academic Inspired Network10.55573","open","0","11","false","true"
"Academic Journal Development Service (ID 27244)","Academic Journal Development Service10.47494","open","0","233","false","true"
"Academic Perspective (ID 19462)","Academic Perspective10.33793","open","300","194","true","true"
"Academic Research Centre (ID 17541)","Academic Research Centre10.32476","open","11","13","true","true"
"Academic Research Publishing Group (Publications) (ID 27517)","Academic Research Publishing Group10.32861","open","1626","746","true","false"
"Academic Society for Appropriate Technology (ID 24597)","Academic Society for Appropriate Technology10.37675","open","18","71","false","true"
"Academic World Research (ID 26714)","Academic World Research10.47176","open","2436","1524","true","true"
"Academicus Journal (ID 7225)","Academicus Journal10.7336","open","276","64","true","true"
"Academus Publishing (ID 15171)","Academus Publishing10.31519","open","384","3","true","true"
"Academy Journal of Educational Sciences (ID 17040)","Academy Journal of Educational Sciences10.31805","open","33","19","true","true"
"Academy of Cognitive and Natural Sciences (ID 33647)","Academy of Cognitive and Natural Sciences10.55056","open","840","26","false","true"
"Academy of Economic Sciences of Ukraine (ID 23759)","Academy of Economic Sciences of Ukraine10.37405","open","60","145","true","true"
"Academy of Family Physicians of Malaysia (ID 28286)","Academy of Family Physicians of Malaysia10.51866","open","0","87","false","true"
"Academy of Health Professionals (ID 26246)","Academy of Health Professionals10.46811","open","16","16","false","true"
"Academy of Medical Optics and Optometry (ID 19482)","Academy of Medical Optics and Optometry10.33791","open","31","64","false","true"
"Academy of Medicine, Singapore (ID 26165)","Academy of Medicine, Singapore10.47102","open","0","399","false","true"
"Academy of Music, University of Sarajevo (ID 28914)","Academy of Music, University of Sarajevo10.51515","open","54","0","true","false"
"Academy of Public Administration under the President of the Republic of Kazakhstan (ID 29764)","Academy of Public Administration under the President of the Republic of Kazakhstan10.52123","open","0","86","false","true"
"Academy of Science of South Africa (ID 6689)","Academy of Science of South Africa10.17159","open","11030","2898","true","true"
"Academy of Social Enterprise (ID 17911)","Academy of Social Enterprise10.32675","open","71","0","true","false"
"Academy of the FPS of Russia (ID 19123)","Academy of the FPS of Russia10.33463","open","18","31","true","true"
"Academy Of The State Penitentiary Servise (ID 18049)","Academy Of The State Penitentiary Servise10.32755","open","233","143","true","true"
"Academy of Watercolor and Fine Arts of Sergey Andriaka (ID 28498)","Academy of Watercolor and Fine Arts of Sergey Andriaka10.51236","open","0","36","false","true"
"ACADEMY Saglik Hiz. Muh. Ins. Taah. Elekt. Yay. Tic. Ltd. Sti. (ID 22968)","ACADEMY Saglik Hiz. Muh. Ins. Taah. Elekt. Yay. Tic. Ltd. Sti.10.36937","open","25","149","true","true"
"Acarological Society of Japan (ID 1080)","The Acarological Society of Japan10.2300","open","315","7","true","true"
"Acarological Studies, DergiPark (ID 26688)","Acarological Studies, DergiPark10.47121","open","0","31","false","true"
"ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales (ID 7558)","ACCEFYN - Academia Colombiana de Ciencias Exactas, Fisicas y Naturales10.18257","open","425","191","true","false"
"AccScience Publishing (ID 22835)","AccScience Publishing10.36922","open","8","45","false","true"
"Acibadem Universitesi Saglik Bilimleri Dergisi (ID 16024)","Acibadem Universitesi Saglik Bilimleri Dergisi10.31067","open","128","364","false","true"
"Acoustical Society of Japan (ID 314)","Acoustical Society of Japan10.1250","open","2087","235","true","true"
"ACS Publisher (ID 28254)","ACS Publisher10.48165","open","142","429","false","true"
"ACS Publisher (ID 28254)","Journal of Agriculture and Ecology10.53911","open","142","429","false","true"
"Acta Materialia Transylvanica (ID 19784)","Acta Materialia Transylvanica10.33923","open","62","84","true","true"
"Acta Materialia Transylvanica (ID 19784)","Acta Materialia Transylvanica10.33924","open","62","84","true","true"
"Acta Medica Alanya (ID 12012)","Acta Medica Alanya10.30565","open","138","125","true","true"
"Acta Naturae Ltd (ID 17808)","Acta Naturae Ltd10.32607","open","677","105","true","true"
"Acta Paulista de Enfermagem (ID 24620)","Acta Paulista de Enfermagem10.37689","open","0","283","false","true"
"Acta Physica Sinica, Chinese Physical Society and Institute of Physics, Chinese Academy of Sciences (ID 27828)","Acta Physica Sinica, Chinese Physical Society and Institute of Physics, Chinese Academy of Sciences10.7498","open","28913","2528","true","true"
"Action For Sustainable Efficacious Development and Awareness (ID 22978)","Action For Sustainable Efficacious Development and Awareness10.36953","open","483","150","false","true"
"Active Aging Research Center (ID 6988)","Active Aging Research Center10.17338","open","68","23","true","true"
"Adalya, Koc University (ID 27403)","Adalya, Koc University10.47589","open","0","42","false","true"
"Adam Akademi Sosyal Bilimler Dergisi (ID 16830)","Adam Akademi Sosyal Bilimler Dergisi10.31679","open","56","37","true","true"
"Adam Mickiewicz University Poznan (ID 5855)","Adam Mickiewicz University Poznan10.14746","open","17641","3869","true","true"
"Addaiyan International Publishers (ID 21848)","Addaiyan International Publishers10.36099","open","42","192","true","true"
"Adi Health+Wellness (ID 32979)","Adi Health+Wellness10.54531","open","0","171","false","true"
"Adichunchanagiri Institute of Medical Sciences (ID 25558)","Adichunchanagiri Institute of Medical Sciences10.46347","open","119","104","true","true"
"Adiyaman Universitesi Saglik Bilimleri Dergisi (ID 12019)","Adiyaman Universitesi Saglik Bilimleri Dergisi10.30569","open","156","70","true","true"
"Adiyaman Universitesi Saglik Bilimleri Dergisi (ID 12019)","Adiyaman Universitesi Saglik Bilimleri Dergisi10.30569","open","156","70","true","true"
"Adiyaman University (ID 23258)","Adiyaman Universitesi Egitim Bilimleri Dergisi10.17984","limited","17","186","true","true"
"Adiyaman University (ID 23258)","Adiyaman Universitesi Saglik Bilimleri Dergisi10.30569","open","17","186","true","true"
"Adiyaman University (ID 23258)","Adiyaman University10.37094","open","17","186","true","true"
"Adiyaman University (ID 23258)","Adiyaman University Journal of Social Sciences10.14520","limited","17","186","true","true"
"Adiyaman University (ID 23258)","Adiyaman Üniversitesi Mühendislik Bilimleri Dergisi10.54365","open","17","186","true","true"
"Adiyaman University (ID 23258)","Islami Ilimler Arastirmalari Dergisi10.54958","open","17","186","true","true"
"Adiyaman University - Mecuma (ID 17770)","Adiyaman University - Mecuma10.32579","open","35","100","true","true"
"Adnan Menderes Universitesi Saglik Bilimleri Fakultesi Dergisi (ID 25416)","Adnan Menderes Universitesi Saglik Bilimleri Fakultesi Dergisi10.46237","open","0","66","false","true"
"Adnan Menderes Universitesi Saglik Bilimleri Fakultesi Dergisi (ID 25416)","Adnan Menderes Universitesi Saglik Bilimleri Fakultesi Dergisi10.46237","open","0","66","false","true"
"Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi (ID 12255)","Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi10.30803","open","169","19","true","true"
"Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi (ID 12255)","Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi10.30803","open","169","19","true","true"
"Adnan Menderes University (ID 10940)","Adnan Menderes Universitesi Saglik Bilimleri Fakultesi Dergisi10.46237","open","128","155","true","true"
"Adnan Menderes University (ID 10940)","Adnan Menderes Universitesi Sosyal Bilimler Enstitusu Dergisi10.30803","open","128","155","true","true"
"Adnan Menderes University (ID 10940)","Adnan Menderes Universitesi Ziraat Fakultesi Dergisi10.25308","limited","128","155","true","true"
"Adnan Menderes University (ID 10940)","Animal Health Production and Hygiene10.53913","open","128","155","true","true"
"Adnan Menderes University (ID 10940)","Aydin Iktisat Fakultesi Dergisi10.53839","open","128","155","true","true"
"Adnan Menderes University (ID 10940)","Hemsirelik Bilimi Dergisi10.54189","open","128","155","true","true"
"ADPII (Aliansi Desainer Produk Industri Indonesia) (ID 29953)","ADPII (Aliansi Desainer Produk Industri Indonesia)10.52265","open","3","28","false","true"
"ADPSE Catalactica Bucuresti (ID 21492)","ADPSE Catalactica Bucuresti10.35782","open","29","90","false","true"
"Advanced Computing and Communications Society - ACCS (ID 19819)","Advanced Computing and Communications Society - ACCS10.34048","open","55","7","true","true"
"Advancements in Agricultural Development, Inc. (ID 23776)","Advancements in Agricultural Development, Inc.10.37433","open","0","60","false","true"
"Advances in Hospitality and Tourism Research (ID 11972)","Advances in Hospitality and Tourism Research10.30519","open","30","61","true","true"
"Advances in Weed Science (ID 29173)","Advances in Weed Science10.51694","open","0","37","false","true"
"Advancing Science Press Limited (ID 30691)","Advancing Science Press Limited10.52810","open","0","27","false","true"
"Aegitas Publishing House (ID 27034)","Aegitas Publishing House10.47359","open","0","13","false","true"
"Aerospace Medical Association of Korea (ID 25437)","Aerospace Medical Association of Korea10.46246","open","0","42","false","true"
"Afet ve Risk Dergisi (ID 20730)","Afet ve Risk DergisI10.35341","open","24","50","true","true"
"AFRICAJOURNALS (ID 25359)","AFRICAJOURNALS10.46222","open","0","322","false","true"
"African - British Journals (ID 30334)","African - British Journals10.52589","open","1","417","false","true"
"African Field Epidemiology Network (ID 21985)","African Field Epidemiology Network10.37432","open","20","33","true","true"
"African Journal for Physical Activity and Health Sciences, Tshwane University of Technology (ID 24486)","African Journal for Physical Activity and Health Sciences, Tshwane University of Technology10.37597","open","0","74","false","true"
"African Journal of Political Sciences Publications (ID 21431)","African Journal of Political Sciences Publications10.35788","open","62","20","true","true"
"African Leadership Centre (ID 27458)","African Leadership Centre10.47697","open","18","11","true","true"
"Afro Eurasian Studies (ID 19503)","Afro Eurasian Studies10.33722","open","16","30","true","true"
"Afyon Kocatepe Universitesi Fen Ve Muhendislik Bilimleri Dergisi (ID 20907)","Afyon Kocatepe Universitesi Fen Ve Muhendislik Bilimleri Dergisi10.35414","open","518","285","true","true"
"Afyon Kocatepe Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi (ID 19500)","Afyon Kocatepe Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi10.33707","open","112","34","true","true"
"Afyon Kocatepe Universitesi Sosyal Bilimler Dergisi (ID 17953)","Afyon Kocatepe Universitesi Sosyal Bilimler Dergisi10.32709","open","223","230","true","true"
"Afyon Kocatepe University (ID 7520)","Afyon Kocatepe Universitesi Uluslararasi Muhendislik Teknolojileri ve Uygulamali Bilimler Dergisi (AKU-IJETAS)10.53448","open","445","298","true","true"
"Afyon Kocatepe University (ID 7520)","Kocatepe Islami Ilimler Dergisi10.52637","open","445","298","true","true"
"Afyon Kocatepe University (ID 7520)","Kocatepe Medical Journal10.18229","open","445","298","true","true"
"Afyon Kocatepe University (ID 7520)","Kuramsal Egitimbilim Dergisi10.30831","open","445","298","true","true"
"Agencia De Regulacion y Control Fito y Zoosanitario (ID 21826)","Agencia De Regulacion y Control Fito y Zoosanitario10.36331","open","75","31","true","true"
"Agencia Estatal Boletin Oficial del Estado (ID 33798)","Agencia Estatal Boletin Oficial del Estado10.55104","open","99","120","true","true"
"Aging and Disease (ID 5462)","Aging and Disease10.14336","open","445","306","true","true"
"Agrarian Science (ID 17863)","Agrarian Science10.32634","open","299","428","false","true"
"Agri Ibrahim Cecen Universitesi Sosyal Bilimler Enstitusu Dergisi (ID 16519)","Agri Ibrahim Cecen Universitesi Sosyal Bilimler Enstitusu Dergisi10.31463","open","43","100","true","true"
"Agricultural & Environmental Technology Development Society (ID 29982)","Agricultural & Environmental Technology Development Society10.52804","open","0","81","false","true"
"Ahi Evran Medical Journal, Kirsehir Ahi Evran University (ID 25547)","Ahi Evran Medical Journal, Kirsehir Ahi Evran University10.46332","open","0","103","false","true"
"Ahi Evran Universitesi Sosyal Bilimler Enstitusu Dergisi (ID 16710)","Ahi Evran Universitesi Sosyal Bilimler Enstitusu Dergisi10.31592","open","48","145","true","true"
"Ahmet Kelesoglu Egitim Fakultesi Dergisi (ID 25281)","Ahmet Kelesoglu Egitim Fakultesi Dergisi10.38151","open","6","13","true","false"
"Ahmet Kelesoglu Egitim Fakultesi Dergisi (ID 25281)","Ahmet Kelesoglu Egitim Fakultesi Dergisi10.38151","open","6","13","true","false"
"AIA Standards and Quality (ID 20868)","AIA Standards and Quality10.35400","open","21","159","true","true"
"Ailamazyan Program Systems Institute of Russian Academy of Sciences (PSI RAS) (ID 10844)","Ailamazyan Program Systems Institute of Russian Academy of Sciences (PSI RAS)10.25209","open","222","44","true","true"
"AIP Publishing (ID 317)","American Institute of Physics10.1063","open","796058","57007","true","true"
"Akademi Keperawatan Kerta Cendekia (ID 22737)","Akademi Keperawatan Kerta Cendekia10.36720","open","85","104","false","true"
"Akademi Komunitas Negeri Putra Sang Fajar Blitar (ID 25835)","Akademi Komunitas Negeri Putra Sang Fajar Blitar10.46510","open","0","43","false","true"
"Akademiai Kiado Zrt. (ID 425)","Akademiai Kiado Zrt.10.1556","open","32194","4682","true","true"
"Akademiar - The Journal of Academic Islamic Studies (ID 25405)","Akademiar - The Journal of Academic Islamic Studies10.46231","open","0","34","false","true"
"Akademik Dil ve Edebiyat Dergisi (ID 20014)","Akademik Dil ve Edebiyat Dergisi10.34083","open","102","221","true","true"
"Akademik Dusunce Enstitusu (ID 31559)","Akademik Dusunce Enstitusu10.53507","open","0","9","false","true"
"Akademik Perspektif Dernegi (ID 29747)","Academic Platform Journal of Halal Lifestyle10.53569","open","0","53","false","true"
"Akademik Perspektif Dernegi (ID 29747)","Academic Platform Journal of Islamic ResearchAcademic Platform Journal of Islamic Research10.52115","open","0","53","false","true"
"Akademik Perspektif Dernegi (ID 29747)","Academic Platform Journal of Natural Hazards10.52114","open","0","53","false","true"
"Akademik Perspektif Dernegi (ID 29747)","Akademik Platform Egitim ve Degisim Dergisi10.55150","open","0","53","false","true"
"Akademik Siyer Dergisi, Kahramanmaras Sutcu Imam Universitesi (ID 26753)","Akademik Siyer Dergisi, Kahramanmaras Sutcu Imam Universitesi10.47169","open","0","19","false","true"
"Akademik Sosyal Arastirmalar Dergisi (Asya Studies) (ID 16499)","Akademik Sosyal Arastirmalar Dergisi (Asya Studies)10.31455","open","65","174","true","true"
"Akdeniz Kadin Calismalari ve Toplumsal Cinsiyet Dergisi (ID 19497)","Akdeniz Kadin Calismalari ve Toplumsal Cinsiyet Dergisi10.33708","open","13","27","true","true"
"Akdeniz Sanat, Akdeniz University (ID 28120)","Akdeniz Sanat, Akdeniz University10.48069","open","0","24","false","true"
"Akdeniz Spor Bilimleri Dergisi (Mediterranean Journal of Sport Science) (ID 25083)","Akdeniz Spor Bilimleri Dergisi (Mediterranean Journal of Sport Science)10.38021","open","0","93","false","true"
"Akdeniz Universitesi Iletisim Fakultesi Dergisi (ID 16081)","Akdeniz Universitesi Iletisim Fakultesi Dergisi10.31123","open","255","98","true","true"
"Akdeniz University (ID 23271)","Akdeniz Tip Dergisi10.53394","open","355","213","true","true"
"Akdeniz University (ID 23271)","Akdeniz Universitesi Hukuk Fakultesi Dergisi10.54704","open","355","213","true","true"
"Akdeniz University (ID 23271)","Akdeniz University10.37095","open","355","213","true","true"
"Akif Akgul (ID 28952)","Akif Akgul10.51537","open","0","17","false","true"
"Akra Kultur Sanat ve Edebiyat Dergisi (ID 16060)","Akra Kultur Sanat ve Edebiyat Dergisi10.31126","open","110","105","true","true"
"Aksaray University (ID 27225)","Aksaray University10.47479","open","0","79","false","true"
"Aksaray University (ID 27225)","Aksaray University Journal of Institute of Social Sciences10.38122","open","0","79","false","true"
"Aksaray University (ID 27225)","Aksaray University Journal of Science and Engineering10.29002","limited","0","79","false","true"
"Aksaray University (ID 27225)","Aksaray University Journal of Sport and Health Researches10.54152","open","0","79","false","true"
"Aksaray University (ID 27225)","Journal of Aksaray University Faculty of Economics and Administrative Sciences10.52791","open","0","79","false","true"
"Aksaray University (ID 27225)","Journal of Communication Aksaray, Aksaray University10.47771","open","0","79","false","true"
"Aksaray University Journal of Institute of Social Sciences (ID 25250)","Aksaray University Journal of Institute of Social Sciences10.38122","open","18","17","true","true"
"Aksaray University Journal of Institute of Social Sciences (ID 25250)","Aksaray University Journal of Institute of Social Sciences10.38122","open","18","17","true","true"
"Akshantala Enterprises Private Limited (ID 5394)","Akshantala Enterprises Private Limited10.14260","open","11696","1781","true","true"
"Al Mustansiriyah University - College of Pharmacy (ID 18224)","Al Mustansiriyah University - College of Pharmacy10.32947","open","551","86","false","true"
"Al-Balqa Applied University (ID 27703)","Al-Balqa Applied University10.48103","open","26","33","false","true"
"Alanya Hamdullah Emin Pasa Universitesi (ID 21477)","Alanya Hamdullah Emin Pasa Universitesi10.25034","open","113","225","true","true"
"Alanya Hamdullah Emin Pasa Universitesi (ID 21477)","Alanya Hamdullah Emin Pasa Universitesi10.38027","open","113","225","true","true"
"Albanian Sports Science Association (ID 19229)","Albanian Sports Science Association10.33598","open","0","12","false","true"
"Albanian University (ID 34102)","Albanian University10.55312","open","0","39","false","true"
"Albuquerque: revista de historia (ID 25662)","Albuquerque: revista de historia10.46401","open","268","98","true","true"
"Alfmed LLC (ID 19410)","Alfmed LLC10.33667","open","315","922","true","true"
"Alianza de Investigadores Internacionales SAS (ID 26833)","Alianza de Investigadores Internacionales SAS10.47212","open","102","209","true","true"
"Alinteri Sosyal Bilimler Dergisi (ID 12364)","Alinteri Sosyal Bilimler Dergisi10.30913","open","36","23","true","true"
"ALKU Fen Bilimleri Dergisi, Alanya Alaaddin Keykubat University (ID 26154)","ALKU Fen Bilimleri Dergisi, Alanya Alaaddin Keykubat University10.46740","open","6","33","true","true"
"All Nations University (ID 27965)","All Nations University10.47987","open","2","48","true","true"
